date,age,gender,item,category,amount,label
2024-02-02,38,Male,Jewelry,Accessories,1660,
2024-03-26,57,Male,Jewelry,Accessories,2573,
2024-03-09,55,Male,Jewelry,Accessories,4482,
2024-02-23,24,Male,Jewelry,Accessories,7885,
2024-02-11,54,Male,Jewelry,Accessories,5561,
2024-01-30,57,Male,Jewelry,Accessories,3735,
2024-01-07,54,Male,Jewelry,Accessories,2241,Want
2024-03-11,25,Male,Jewelry,Accessories,8300,
2024-01-31,58,Male,Jewelry,Accessories,2490,Want
2024-01-15,51,Male,Jewelry,Accessories,6225,
2024-02-09,48,Male,Jewelry,Accessories,2158,
2024-01-31,59,Male,Jewelry,Accessories,2656,
2024-01-16,27,Male,Jewelry,Accessories,4233,Want
2024-03-03,66,Male,Jewelry,Accessories,1992,
2024-02-17,66,Male,Jewelry,Accessories,5976,Want
2024-03-12,58,Male,Jewelry,Accessories,6308,
2024-01-22,37,Male,Jewelry,Accessories,3486,
2024-01-19,69,Male,Jewelry,Accessories,6474,Want
2024-03-24,66,Male,Jewelry,Accessories,2075,
2024-02-07,64,Male,Jewelry,Accessories,3237,
2024-01-11,70,Male,Jewelry,Accessories,8217,
2024-01-09,45,Male,Jewelry,Accessories,4150,
2024-01-23,26,Male,Jewelry,Accessories,3735,
2024-02-18,66,Male,Jewelry,Accessories,2573,Want
2024-03-01,54,Male,Jewelry,Accessories,4648,
2024-03-27,37,Male,Jewelry,Accessories,6723,Want
2024-03-23,35,Male,Jewelry,Accessories,3569,Want
2024-01-03,27,Male,Jewelry,Accessories,1660,
2024-03-16,25,Male,Jewelry,Accessories,3984,
2024-02-18,70,Male,Jewelry,Accessories,5727,Want
2024-03-22,68,Male,Jewelry,Accessories,7055,Want
2024-01-16,49,Male,Jewelry,Accessories,6557,
2024-02-15,41,Male,Jewelry,Accessories,7802,Want
2024-02-27,48,Male,Jewelry,Accessories,2739,Want
2024-02-21,30,Male,Jewelry,Accessories,2407,
2024-01-29,33,Male,Jewelry,Accessories,5146,
2024-02-03,35,Male,Jewelry,Accessories,4399,
2024-03-14,57,Male,Jewelry,Accessories,7553,
2024-01-01,69,Male,Jewelry,Accessories,2407,
2024-01-24,18,Male,Jewelry,Accessories,3984,
2024-03-03,44,Male,Jewelry,Accessories,6640,
2024-02-16,33,Male,Jewelry,Accessories,7470,
2024-03-22,52,Male,Jewelry,Accessories,2075,
2024-02-21,50,Male,Jewelry,Accessories,6225,Want
2024-02-19,48,Male,Jewelry,Accessories,5893,Want
2024-01-04,25,Male,Jewelry,Accessories,7055,Want
2024-03-22,68,Male,Jewelry,Accessories,4150,
2024-03-09,25,Male,Jewelry,Accessories,3320,
2024-01-02,34,Male,Jewelry,Accessories,2988,
2024-02-20,67,Male,Jewelry,Accessories,3403,
2024-01-26,21,Male,Jewelry,Accessories,3486,
2024-01-01,29,Male,Jewelry,Accessories,2988,Want
2024-02-24,44,Male,Jewelry,Accessories,6308,Want
2024-03-10,37,Male,Jewelry,Accessories,1743,
2024-03-05,34,Male,Jewelry,Accessories,4316,
2024-03-03,43,Male,Jewelry,Accessories,4399,
2024-02-01,70,Male,Jewelry,Accessories,4731,Want
2024-03-24,39,Male,Jewelry,Accessories,6391,
2024-02-03,41,Male,Jewelry,Accessories,5312,Want
2024-03-17,36,Male,Jewelry,Accessories,2324,
2024-01-17,54,Male,Jewelry,Accessories,4067,
2024-01-23,30,Male,Jewelry,Accessories,2241,Want
2024-01-20,28,Male,Jewelry,Accessories,8134,
2024-02-25,31,Male,Jewelry,Accessories,5893,Want
2024-03-18,39,Male,Jewelry,Accessories,6142,
2024-02-07,39,Male,Jewelry,Accessories,5063,
2024-03-16,24,Male,Jewelry,Accessories,2158,
2024-01-07,45,Male,Jewelry,Accessories,1909,
2024-01-28,30,Male,Jewelry,Accessories,1992,
2024-01-08,28,Male,Jewelry,Accessories,7304,Want
2024-03-06,69,Male,Jewelry,Accessories,6391,Want
2024-02-08,42,Male,Jewelry,Accessories,2490,
2024-02-22,47,Male,Jewelry,Accessories,7055,
2024-01-29,26,Male,Jewelry,Accessories,2573,Want
2024-01-17,64,Male,Jewelry,Accessories,5146,
2024-02-04,32,Male,Jewelry,Accessories,5478,
2024-03-09,39,Male,Jewelry,Accessories,2407,Want
2024-01-15,34,Male,Jewelry,Accessories,2324,
2024-02-13,42,Male,Jewelry,Accessories,8134,
2024-01-10,21,Male,Jewelry,Accessories,8134,
2024-02-27,49,Male,Jewelry,Accessories,4565,Want
2024-03-25,37,Male,Jewelry,Accessories,7719,
2024-03-18,69,Male,Jewelry,Accessories,7387,
2024-03-26,67,Male,Jewelry,Accessories,6723,
2024-01-07,69,Male,Jewelry,Accessories,2407,
2024-02-13,34,Male,Jewelry,Accessories,4399,
2024-01-04,63,Male,Jewelry,Accessories,4565,
2024-03-29,26,Male,Jewelry,Accessories,4399,
2024-02-21,69,Male,Jewelry,Accessories,6142,
2024-01-07,65,Male,Jewelry,Accessories,7055,
2024-01-24,65,Male,Jewelry,Accessories,6723,
2024-02-29,54,Male,Jewelry,Accessories,3486,
2024-01-05,70,Male,Jewelry,Accessories,4980,
2024-02-05,35,Male,Jewelry,Accessories,3486,Want
2024-01-28,59,Male,Jewelry,Accessories,3154,
2024-02-28,69,Male,Jewelry,Accessories,2075,
2024-01-09,31,Male,Jewelry,Accessories,1660,Want
2024-02-02,58,Male,Jewelry,Accessories,6806,
2024-02-09,70,Male,Jewelry,Accessories,6723,
2024-02-13,56,Male,Jewelry,Accessories,7304,Want
2024-03-19,60,Male,Jewelry,Accessories,2822,
2024-03-10,59,Male,Jewelry,Accessories,2573,
2024-02-19,58,Male,Jewelry,Accessories,4731,Want
2024-03-04,21,Male,Jewelry,Accessories,8134,
2024-03-26,35,Male,Jewelry,Accessories,2241,
2024-02-06,42,Male,Jewelry,Accessories,7968,
2024-02-08,34,Male,Jewelry,Accessories,3071,
2024-01-06,28,Male,Jewelry,Accessories,7553,
2024-01-24,26,Male,Jewelry,Accessories,3071,
2024-02-02,30,Male,Jewelry,Accessories,6806,Want
2024-03-30,49,Male,Jewelry,Accessories,4731,
2024-02-25,45,Male,Jewelry,Accessories,2988,
2024-03-30,52,Male,Jewelry,Accessories,3901,
2024-03-03,66,Male,Jewelry,Accessories,3818,
2024-01-06,61,Male,Jewelry,Accessories,1826,
2024-02-24,69,Male,Jewelry,Accessories,2075,
2024-03-20,51,Male,Jewelry,Accessories,5644,
2024-03-13,60,Male,Jewelry,Accessories,2075,
2024-03-02,63,Male,Jewelry,Accessories,8217,
2024-03-24,22,Female,Jewelry,Accessories,6972,
2024-03-11,57,Female,Jewelry,Accessories,6308,Want
2024-02-23,63,Female,Jewelry,Accessories,3486,
2024-02-07,56,Female,Jewelry,Accessories,5561,
2024-01-13,68,Female,Jewelry,Accessories,1743,
2024-01-15,47,Female,Jewelry,Accessories,2822,Want
2024-01-13,63,Female,Jewelry,Accessories,3984,
2024-02-02,35,Female,Jewelry,Accessories,2656,
2024-01-04,40,Female,Jewelry,Accessories,6640,
2024-02-18,36,Female,Jewelry,Accessories,2573,
2024-02-21,52,Female,Jewelry,Accessories,5229,
2024-03-07,25,Female,Jewelry,Accessories,7719,
2024-01-11,69,Female,Jewelry,Accessories,5810,
2024-03-25,24,Female,Jewelry,Accessories,6142,Want
2024-02-05,70,Female,Jewelry,Accessories,7553,
2024-02-16,56,Female,Jewelry,Accessories,3237,Want
2024-03-03,69,Female,Jewelry,Accessories,7719,
2024-03-26,26,Female,Jewelry,Accessories,8134,
2024-01-29,32,Female,Jewelry,Accessories,6806,
2024-03-14,57,Female,Jewelry,Accessories,4233,
2024-01-02,30,Female,Jewelry,Accessories,6391,Want
2024-02-02,68,Female,Jewelry,Accessories,2158,
2024-02-21,38,Female,Jewelry,Accessories,7719,
2024-01-03,61,Female,Jewelry,Accessories,2490,
2024-03-15,37,Female,Jewelry,Accessories,7885,
2024-02-19,49,Female,Jewelry,Accessories,7968,Want
2024-03-23,35,Female,Jewelry,Accessories,6557,
2024-03-21,62,Female,Jewelry,Accessories,6889,
2024-02-09,23,Female,Jewelry,Accessories,2158,
2024-03-02,32,Female,Jewelry,Accessories,5727,
2024-02-07,64,Female,Jewelry,Accessories,7221,Want
2024-02-22,68,Female,Jewelry,Accessories,3071,
2024-02-24,27,Female,Jewelry,Accessories,2241,
2024-01-15,48,Female,Jewelry,Accessories,3486,Want
2024-03-06,69,Female,Jewelry,Accessories,6723,
2024-03-21,29,Female,Jewelry,Accessories,4648,
2024-02-06,39,Female,Jewelry,Accessories,7387,
2024-01-27,69,Female,Jewelry,Accessories,5644,Want
2024-01-05,21,Female,Jewelry,Accessories,8134,Want
2024-01-22,67,Female,Jewelry,Accessories,4150,
2024-02-14,19,Female,Jewelry,Accessories,7802,
2024-03-29,47,Female,Jewelry,Accessories,2490,
2024-02-08,60,Female,Jewelry,Accessories,3320,
2024-01-30,19,Female,Jewelry,Accessories,1909,
2024-01-11,36,Female,Jewelry,Accessories,8051,
2024-01-19,22,Female,Jewelry,Accessories,4316,
2024-01-10,63,Female,Jewelry,Accessories,5976,
2024-01-21,62,Female,Jewelry,Accessories,6059,Want
2024-01-21,22,Female,Jewelry,Accessories,4980,
2024-01-08,27,Female,Jewelry,Accessories,6142,
2024-03-26,37,Female,Jewelry,Accessories,7636,
2024-03-02,35,Female,Jewelry,Accessories,7138,Want
2024-01-28,22,Male,Bread,Groceries,6640,
2024-02-09,32,Male,Vegetables,Groceries,6142,
2024-01-18,43,Male,Movie Ticket,Entertainment,2656,Want
2024-03-22,34,Female,Milk,Groceries,5810,Need
2024-01-14,53,Male,Milk,Groceries,1577,
2024-03-04,24,Male,Milk,Groceries,7636,
2024-03-19,38,Male,Medicine,Health & Wellness,5063,Need
2024-03-15,45,Female,Vegetables,Groceries,4399,Need
2024-03-26,45,Female,Movie Ticket,Entertainment,6640,Want
2024-02-18,60,Female,Vegetables,Groceries,1992,
2024-02-29,50,Male,Bread,Groceries,7636,
2024-03-19,25,Male,Rice,Groceries,7885,
2024-02-18,37,Female,Rice,Groceries,5478,Need
2024-03-20,36,Male,Rice,Groceries,6640,Need
2024-02-02,60,Female,Netflix,Entertainment,3320,
